id;field_name;field_label;field_type;is_deleted;created_by;created_at;updated_by;updated_at
1;Regional;Sausages;Number;true;RAM Soap repurpose;2021-07-29;black user-facing;2021-07-29
2;Cambridgeshire;client-driven benchmark;Rate;false;Mouse Trail e-services;2021-07-29;ivory Fresh;2021-07-29
3;Forward Place;Senior Rial;Number;false;frictionless;2021-07-28;frame Tasty monitoring;2021-07-29
4;Configuration;compress;Number;false;core;2021-07-29;sensor Ball District;2021-07-29
5;Practical;withdrawal interface;Date;true;system JBOD Product;2021-07-29;Minnesota cross-platform architectures;2021-07-29
6;Knolls Global;Down-sized withdrawal Cambridgeshire;Rate;false;Practical access asymmetric;2021-07-28;payment;2021-07-28
7;GB Chair;magenta Bedfordshire;Rate;true;Dynamic;2021-07-28;intelligence;2021-07-29
8;Minnesota Corporate;hacking Bike Industrial;Number;true;Assurance iterate pink;2021-07-28;drive Borders Cotton;2021-07-29
9;Berkshire;relationships experiences Gloves;Date;true;PNG Gloves;2021-07-29;RAM Developer;2021-07-29
10;Research;Virgin multi-byte Awesome;Text;false;Rwanda Tasty Fantastic;2021-07-28;paradigms;2021-07-29
