id;comp_name;comp_address;comp_website;comp_type;comp_contact_no;created_by;created_at;updated_by;updated_at
1;reciprocal withdrawal;synthesize compressing;multi-byte Administrator;Consultant;array;envisioneer;2021-07-28;engage invoice Grocery;2021-07-28
2;Handcrafted iterate PNG;Account;vortals;Hospital;virtual;Security quantify uniform;2021-07-29;Account Concrete;2021-07-29
3;Associate Taiwan;Mouse;connect Ergonomic;Consultant;Handmade;Pound;2021-07-28;Villages;2021-07-28
4;context-sensitive Plastic encoding;Chair Division;Bike payment Borders;MediaHouse;overriding migration Plastic;Electronics;2021-07-29;Music leverage Pants;2021-07-29
5;sexy Reduced;Nicaragua Executive;JBOD optical;Hospital;Licensed Strategist Nauru;Branding Soap;2021-07-29;feed;2021-07-28
6;Berkshire SQL Fresh;viral bandwidth expedite;cohesive efficient;IT;Loan Delaware Sausages;index;2021-07-29;Mouse calculate;2021-07-29
7;SAS Chips Dinar;embrace leading-edge;Kina revolutionary bus;IT;Oregon Ohio Monaco;Massachusetts Islands;2021-07-28;Wall Morocco;2021-07-29
8;Chair vortals SMS;Korean Berkshire compressing;Mill parse;IT;Passage;Junctions Clothing;2021-07-29;Sleek eyeballs;2021-07-28
9;Plain;Outdoors;Checking Sausages;Hospital;generating Leu implement;full-range;2021-07-29;Liaison Optimized optical;2021-07-29
10;Beauty Ball Markets;turquoise Maryland;Bacon wireless state;Consultant;Interface;functionalities;2021-07-28;hack;2021-07-28
